"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","contrast","celltype"
9.04986218944905e-38,0.532046043521148,0.8,0.63,2.69405347517709e-33,"ZHX2","PD_vs_Ctrl","Astrocyte"
1.02699867002293e-37,-0.707555691363765,0.56,0.691,3.05727234079126e-33,"ACTG1","PD_vs_Ctrl","Astrocyte"
2.96700740730194e-37,-1.6119087338075,0.15,0.343,8.83248435079714e-33,"PCP4","PD_vs_Ctrl","Astrocyte"
3.78173747104485e-37,-1.09074479860292,0.278,0.488,1.12578542775534e-32,"ZFP36L2","PD_vs_Ctrl","Astrocyte"
4.27236292555218e-37,0.771273840188148,0.625,0.431,1.27183971930763e-32,"RFX2","PD_vs_Ctrl","Astrocyte"
4.3088140510545e-37,1.81934110283249,0.288,0.101,1.28269085485841e-32,"SERPINH1","PD_vs_Ctrl","Astrocyte"
8.81055701832409e-37,1.76539358032547,0.285,0.098,2.6228147187849e-32,"ARL17A","PD_vs_Ctrl","Astrocyte"
8.84417989671594e-37,0.583198590384223,0.745,0.57,2.63282391345337e-32,"ATG7","PD_vs_Ctrl","Astrocyte"
2.21414180158536e-36,0.569791257371973,0.736,0.576,6.59127872913946e-32,"SRGAP1","PD_vs_Ctrl","Astrocyte"
5.31200967145296e-36,-0.690413836363759,0.551,0.69,1.58133215909483e-31,"METRN","PD_vs_Ctrl","Astrocyte"
2.3250247025226e-35,1.46726590069574,0.332,0.136,6.92136603693953e-31,"ANOS2P","PD_vs_Ctrl","Astrocyte"
4.45093126508301e-35,-2.15835942026816,0.054,0.208,1.32499772830256e-30,"ID1","PD_vs_Ctrl","Astrocyte"
5.72452027055242e-35,-0.56759342243447,0.602,0.779,1.70413243934075e-30,"MT-ND1","PD_vs_Ctrl","Astrocyte"
6.06741669303492e-35,0.531653349313482,0.748,0.627,1.80620927534957e-30,"OSBPL1A","PD_vs_Ctrl","Astrocyte"
5.71780794463504e-34,-1.52293621933442,0.15,0.331,1.70213424703841e-29,"LAP3","PD_vs_Ctrl","Astrocyte"
1.36626174808219e-33,-1.91825665765004,0.082,0.244,4.06722459786587e-29,"NCL","PD_vs_Ctrl","Astrocyte"
5.8736861361612e-33,-1.68224255303661,0.112,0.284,1.74853762587383e-28,"PARP14","PD_vs_Ctrl","Astrocyte"
7.69357006676374e-33,1.03245778291869,0.457,0.27,2.2902988731749e-28,"SUGT1","PD_vs_Ctrl","Astrocyte"
1.71408252427312e-32,-0.84016151284628,0.394,0.576,5.10265226650865e-28,"PPP1R1B","PD_vs_Ctrl","Astrocyte"
2.76621563488226e-32,0.578132236632053,0.717,0.533,8.234747323481e-28,"INTU","PD_vs_Ctrl","Astrocyte"
6.01423610509625e-32,-1.36770371476548,0.141,0.324,1.7903779461261e-27,"C1RL","PD_vs_Ctrl","Astrocyte"
1.19323255724856e-31,-1.08041991838293,0.279,0.463,3.55213399967324e-27,"CHCHD2","PD_vs_Ctrl","Astrocyte"
1.23555905260377e-31,-0.768587136759848,0.431,0.612,3.67813574369615e-27,"ALDOA","PD_vs_Ctrl","Astrocyte"
1.33755798601157e-31,-0.689337068818291,0.526,0.676,3.98177636855783e-27,"PEBP1","PD_vs_Ctrl","Astrocyte"
1.77329881607816e-31,-0.797449761582059,0.395,0.581,5.27893324558308e-27,"GPR37L1","PD_vs_Ctrl","Astrocyte"
2.7764113267855e-31,-0.725297507156893,0.464,0.619,8.26509887870775e-27,"STOM","PD_vs_Ctrl","Astrocyte"
4.2080235537872e-31,-1.04793552116536,0.254,0.444,1.25268653172691e-26,"TSPAN7","PD_vs_Ctrl","Astrocyte"
5.38767076837208e-31,-2.16243481881338,0.062,0.204,1.60385571103668e-26,"HPCA","PD_vs_Ctrl","Astrocyte"
8.11789930080483e-31,0.683064128230657,0.627,0.471,2.41661744285659e-26,"DNM3","PD_vs_Ctrl","Astrocyte"
1.00647849052462e-30,0.566106141363337,0.707,0.533,2.99618581844275e-26,"KIAA0930","PD_vs_Ctrl","Astrocyte"
1.14752659673462e-30,-1.33790290470664,0.184,0.361,3.41607192581928e-26,"RPS2","PD_vs_Ctrl","Astrocyte"
2.31216697809166e-30,-1.34373900843966,0.147,0.324,6.88308987708108e-26,"GADD45A","PD_vs_Ctrl","Astrocyte"
3.15129727153774e-30,0.533124193352295,0.723,0.556,9.38109684764069e-26,"GABBR1","PD_vs_Ctrl","Astrocyte"
3.39578023085174e-30,-0.664939347837271,0.484,0.651,1.01088981692225e-25,"SARAF","PD_vs_Ctrl","Astrocyte"
4.41713004266799e-30,1.02701410408585,0.416,0.222,1.31493544240183e-25,"SPATA6L","PD_vs_Ctrl","Astrocyte"
5.29072183039182e-30,0.835213362092263,0.542,0.384,1.57499498168934e-25,"ABHD3","PD_vs_Ctrl","Astrocyte"
5.69089369065851e-30,-1.65990200910722,0.122,0.285,1.69412214277213e-25,"NAMPT","PD_vs_Ctrl","Astrocyte"
7.40921869143711e-30,-1.96278634871201,0.066,0.209,2.20565031225391e-25,"NRGN","PD_vs_Ctrl","Astrocyte"
8.05864970738266e-30,-1.07150106562714,0.266,0.448,2.39897943139074e-25,"JUND","PD_vs_Ctrl","Astrocyte"
8.20651338264598e-30,1.13697939048489,0.429,0.247,2.44299696887988e-25,"DDIT4","PD_vs_Ctrl","Astrocyte"
9.44606161778488e-30,-0.691101401387254,0.494,0.634,2.81199808299838e-25,"MAOB","PD_vs_Ctrl","Astrocyte"
9.58248134029812e-30,-1.70136899898043,0.097,0.252,2.85260887019335e-25,"BST2","PD_vs_Ctrl","Astrocyte"
4.74655862484074e-29,-1.78565331479703,0.095,0.246,1.41300303702884e-24,"CCDC85B","PD_vs_Ctrl","Astrocyte"
7.9761130258973e-29,-0.502238064077189,0.639,0.746,2.37440908667937e-24,"TSC22D1","PD_vs_Ctrl","Astrocyte"
1.16999877463087e-28,1.77975918047768,0.225,0.073,3.48296935219864e-24,"VAV3","PD_vs_Ctrl","Astrocyte"
1.73239693840826e-28,-1.27444290942333,0.194,0.366,5.15717244594754e-24,"FN1","PD_vs_Ctrl","Astrocyte"
1.86742855282344e-28,-0.677669514794269,0.494,0.634,5.5591480589001e-24,"EIF1","PD_vs_Ctrl","Astrocyte"
1.91495312909411e-28,-0.975238971907607,0.286,0.459,5.70062397000024e-24,"AC008957.2","PD_vs_Ctrl","Astrocyte"
2.03701654175471e-28,0.660793871450232,0.626,0.435,6.0639945431496e-24,"TPCN1","PD_vs_Ctrl","Astrocyte"
5.04069894498079e-28,-1.37464155070692,0.141,0.304,1.50056566893133e-23,"C3","PD_vs_Ctrl","Astrocyte"
5.76290117175063e-28,0.539137970290288,0.732,0.542,1.71555804981844e-23,"ACOT11","PD_vs_Ctrl","Astrocyte"
5.9143283875871e-28,0.727880796675709,0.562,0.387,1.7606364177008e-23,"CERS6","PD_vs_Ctrl","Astrocyte"
8.26376636205314e-28,0.888112385215057,0.474,0.287,2.4600406083196e-23,"SEL1L3","PD_vs_Ctrl","Astrocyte"
2.2018563208109e-27,1.36925109414468,0.321,0.158,6.55470608142196e-23,"KNOP1","PD_vs_Ctrl","Astrocyte"
2.22174591649871e-27,0.822647917569825,0.5,0.328,6.61391541882501e-23,"CLK1","PD_vs_Ctrl","Astrocyte"
2.55891086041322e-27,-1.26371776668,0.15,0.317,7.6176217403641e-23,"SHISA5","PD_vs_Ctrl","Astrocyte"
3.12927753323185e-27,0.549577667058482,0.668,0.537,9.31554628867788e-23,"SOS1","PD_vs_Ctrl","Astrocyte"
3.71857750596128e-27,-1.80789642666535,0.065,0.2,1.10698333774961e-22,"BEX1","PD_vs_Ctrl","Astrocyte"
5.66011309325873e-27,0.687651055441379,0.578,0.422,1.68495906673219e-22,"PAPOLA","PD_vs_Ctrl","Astrocyte"
7.30441633377656e-27,-1.63031780953029,0.081,0.223,2.17445169840194e-22,"HERC6","PD_vs_Ctrl","Astrocyte"
1.3248961667556e-26,-0.739450868907605,0.421,0.565,3.94408339881473e-22,"BSG","PD_vs_Ctrl","Astrocyte"
1.87036442983216e-26,-0.695474858763194,0.445,0.584,5.56788787116736e-22,"PRNP","PD_vs_Ctrl","Astrocyte"
2.49925153666242e-26,-0.675922646783504,0.448,0.599,7.44002189949034e-22,"PNPLA8","PD_vs_Ctrl","Astrocyte"
3.77215085697478e-26,-0.989152272264449,0.246,0.417,1.12293158861282e-21,"SCG3","PD_vs_Ctrl","Astrocyte"
4.44985703986694e-26,0.637652337868158,0.603,0.434,1.32467794219799e-21,"SH3PXD2B","PD_vs_Ctrl","Astrocyte"
7.51113480976422e-26,-0.570979772345067,0.602,0.692,2.23598972151871e-21,"ACTB","PD_vs_Ctrl","Astrocyte"
1.01224019590155e-25,-1.25561705909297,0.145,0.306,3.01333783917931e-21,"C2orf82","PD_vs_Ctrl","Astrocyte"
1.90984507565666e-25,0.693496498627293,0.583,0.443,5.68541780572232e-21,"P4HA1","PD_vs_Ctrl","Astrocyte"
2.62103269425175e-25,-1.09852374277301,0.198,0.364,7.80255222751802e-21,"YBX3","PD_vs_Ctrl","Astrocyte"
3.11067342901932e-25,1.42168884384422,0.255,0.106,9.26016373084762e-21,"CAP2","PD_vs_Ctrl","Astrocyte"
3.44496670108086e-25,-1.08888951277543,0.245,0.404,1.02553213724476e-20,"DDX24","PD_vs_Ctrl","Astrocyte"
3.5047797200732e-25,0.912932891052037,0.48,0.347,1.04333787486859e-20,"HSPD1","PD_vs_Ctrl","Astrocyte"
4.72659529810638e-25,1.59772000482947,0.222,0.08,1.40706015429329e-20,"SEMA3D","PD_vs_Ctrl","Astrocyte"
4.83236316712517e-25,-0.869041045578317,0.265,0.44,1.43854619122149e-20,"CD38","PD_vs_Ctrl","Astrocyte"
6.20406923754594e-25,-1.06115068366486,0.244,0.401,1.84688937132505e-20,"SLC39A14","PD_vs_Ctrl","Astrocyte"
6.45613948717017e-25,-1.39248503850475,0.117,0.266,1.92192816393569e-20,"TMEM9B","PD_vs_Ctrl","Astrocyte"
6.71735511451882e-25,-0.931140098639556,0.298,0.462,1.99968944404111e-20,"GABARAPL2","PD_vs_Ctrl","Astrocyte"
7.60462395364402e-25,1.55234001481139,0.245,0.1,2.26382050476029e-20,"CA12","PD_vs_Ctrl","Astrocyte"
7.75237114431686e-25,-1.106850250565,0.229,0.387,2.30780336595169e-20,"RPL13","PD_vs_Ctrl","Astrocyte"
8.61746583730149e-25,1.06752895431739,0.407,0.254,2.56533340510628e-20,"RPL38","PD_vs_Ctrl","Astrocyte"
9.83703588877282e-25,-1.59651298324,0.081,0.215,2.92838721372878e-20,"KDELR1","PD_vs_Ctrl","Astrocyte"
1.52872009622453e-24,-1.52100258145072,0.154,0.3,4.55084685445079e-20,"WARS","PD_vs_Ctrl","Astrocyte"
1.63978897790705e-24,-0.887068661560257,0.284,0.452,4.8814878083315e-20,"P2RY14","PD_vs_Ctrl","Astrocyte"
1.95910804125719e-24,-1.39685689712077,0.114,0.26,5.83206872801853e-20,"RPSA","PD_vs_Ctrl","Astrocyte"
2.23723093434254e-24,-0.940021593083495,0.266,0.434,6.66001276844432e-20,"TMSB4X","PD_vs_Ctrl","Astrocyte"
2.46057118387774e-24,-1.64957269053223,0.071,0.2,7.32487435728566e-20,"BTG2","PD_vs_Ctrl","Astrocyte"
2.71400100084939e-24,1.03197576652666,0.354,0.184,8.07930957942856e-20,"USP9Y","PD_vs_Ctrl","Astrocyte"
3.30088563737812e-24,-0.956448844115762,0.263,0.43,9.82640645391094e-20,"RPL18","PD_vs_Ctrl","Astrocyte"
3.97504101313594e-24,-0.525794517603586,0.56,0.657,1.18332995920044e-19,"SF1","PD_vs_Ctrl","Astrocyte"
5.49797526496541e-24,-0.981734723404143,0.273,0.427,1.63669225662755e-19,"CBR1","PD_vs_Ctrl","Astrocyte"
5.73159635313721e-24,-1.36607389302562,0.131,0.275,1.70623891836542e-19,"ITPKC","PD_vs_Ctrl","Astrocyte"
6.87115480412749e-24,0.51873259116799,0.68,0.517,2.04547407364071e-19,"NEDD4L","PD_vs_Ctrl","Astrocyte"
8.58466264596489e-24,-1.19591794907574,0.146,0.3,2.55556822307729e-19,"TRIM47","PD_vs_Ctrl","Astrocyte"
1.37140045489216e-23,-1.37656095289556,0.129,0.274,4.08252201416847e-19,"SBDS","PD_vs_Ctrl","Astrocyte"
2.17845965519577e-23,-1.03786444145431,0.244,0.396,6.48505654755229e-19,"GSTP1","PD_vs_Ctrl","Astrocyte"
2.66865226061443e-23,0.97912180870741,0.389,0.234,7.9443109146231e-19,"CCT4","PD_vs_Ctrl","Astrocyte"
2.97993483492809e-23,0.859524264588867,0.441,0.275,8.87096801009743e-19,"EYA1","PD_vs_Ctrl","Astrocyte"
