"Cluster","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"PD (Down)","Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","25/320","239/9400",0.104602510460251,3.07269874476987,6.09307582895511,5.38318778121616e-07,3.0566927540149e-05,3.0566927540149e-05,"C3/ISG15/JAK1/FAU/RPL7A/MX1/RPL41/RPS5/C1S/RPL13/RPL28/RPS2/STAT1/NFKBIA/RPL15/RPL18/UBA52/C1R/RPS19/RPSA/RPL29/RPS9/RPL19/RPL8/RPS3",25
"PD (Down)","Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","29/320","308/9400",0.0941558441558442,2.76582792207792,5.91516569062028,6.09596845530036e-07,3.0566927540149e-05,3.0566927540149e-05,"PSMD7/MT-ND5/MT-ND4/TUBB2B/MT-CO1/UQCRFS1/NDUFA5/ITPR1/MT-ATP6/PSMB1/NDUFS3/MT-ND3/SOD2/NDUFB5/MT-CYB/MT-ND2/COX5B/TUBA1A/SLC25A5/MT-ND1/MT-ND4L/PSMA7/PSMB5/TUBB4B/TUBB2A/TUBB/MT-CO3/TUBA1B/MT-CO2",29
"PD (Down)","Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","38/320","480/9400",0.0791666666666667,2.32552083333333,5.59625685240563,8.93963613885538e-07,3.62133987906706e-05,3.62133987906706e-05,"PSMD7/MAP1LC3B/MT-ND5/MT-ND4/PARK7/TUBB2B/MT-CO1/UQCRFS1/CALM1/NDUFA5/ITPR1/MT-ATP6/PSMB1/NDUFS3/MT-ND3/NDUFB5/KRAS/CALM3/MT-CYB/MT-ND2/COX5B/UBB/PRNP/TUBA1A/SLC25A5/UBC/MT-ND1/MT-ND4L/UBA52/PSMA7/PSMB5/TUBB4B/TUBB2A/TUBB/MT-CO3/TUBA1B/PINK1/MT-CO2",38
"PD (Down)","Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","32/320","368/9400",0.0869565217391304,2.55434782608696,5.71022268076378,9.28548686940272e-07,3.62133987906706e-05,3.62133987906706e-05,"PSMD7/MAP1LC3B/MT-ND5/MT-ND4/TUBB2B/MT-CO1/UQCRFS1/NDUFA5/MT-ATP6/PSMB1/NDUFS3/MT-ND3/NDUFB5/MT-CYB/ACTB/MT-ND2/COX5B/TUBA1A/MT-ND1/MT-ND4L/SRSF7/PSMA7/PSMB5/ACTG1/ANXA7/TUBB4B/TUBB2A/TUBB/MT-CO3/TUBA1B/PINK1/MT-CO2",32
"PD (Down)","Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","24/320","259/9400",0.0926640926640927,2.72200772200772,5.27546822920272,7.76589815882209e-06,0.000272583025374656,0.000272583025374655,"MAP1LC3B/C3/HLA-E/GABARAPL2/TUBB2B/LAMP1/CD63/HLA-A/HLA-C/COLEC12/ATP6V0B/ACTB/TUBA1A/ATP6V0E2/DYNLT1/CALR/CTSL/CANX/ACTG1/TUBB4B/TUBB2A/TUBB/CTSB/TUBA1B",24
"PD (Down)","Cellular Processes","Cell growth and death","hsa04210","Apoptosis","16/320","137/9400",0.116788321167883,3.43065693430657,5.37998429136466,1.58149248676365e-05,0.000504639875321856,0.000504639875321856,"PARP1/ITPR1/GADD45B/RIPK1/KRAS/ACTB/DAB2IP/TUBA1A/NFKBIA/CTSL/GADD45A/ACTG1/MAP3K14/CTSF/CTSB/TUBA1B",16
"PD (Down)","Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","20/320","205/9400",0.0975609756097561,2.86585365853659,5.07050869600434,2.13917622422568e-05,0.00062570904558601,0.00062570904558601,"MT-ND5/MT-ND4/MT-CO1/UQCRFS1/PARP1/NDUFA5/MT-ATP6/NDUFS3/MT-ND3/NDUFB5/GAPDH/MT-CYB/MT-ND2/COX5B/AGT/SLC25A5/MT-ND1/MT-ND4L/MT-CO3/MT-CO2",20
"PD (Down)","Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","19/320","200/9400",0.095,2.790625,4.80505781489359,4.9693776409953e-05,0.00134173196306873,0.00134173196306873,"TUBB2B/GAPDH/RIPK1/ARF1/ACTB/RHOA/NCL/TUBA1A/NFKBIA/TMED10/WASF2/ACTG1/TUBB4B/TUBB2A/TUBB/TUBA1B/BRK1/TMBIM6/RPS3",19
"PD (Down)","Genetic Information Processing","Translation","hsa03010","Ribosome","20/320","223/9400",0.0896860986547085,2.63452914798206,4.63732597312435,7.14333439786445e-05,0.00179093598117887,0.00179093598117887,"FAU/RPL7A/MT-RNR1/RPL41/RPS5/RPL13/RPL28/RPS2/MT-RNR2/RPL15/RPL18/UBA52/RACK1/RPS19/RPSA/RPL29/RPS9/RPL19/RPL8/RPS3",20
"PD (Down)","Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","18/320","196/9400",0.0918367346938776,2.69770408163265,4.50894162935619,0.00012130789130924,0.00271439161042695,0.00271439161042695,"MAP1LC3B/C3/HLA-E/JAK1/GNB2/CALM1/HLA-A/HLA-C/ITPR1/ZFP36/KRAS/CALM3/STAT1/UBB/NFKBIA/UBC/FGF2/UBA52",18
"PD (Down)","Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","19/320","214/9400",0.088785046728972,2.60806074766355,4.46703141673751,0.000123732950902653,0.00271439161042695,0.00271439161042695,"TRIM5/ELOB/HLA-E/BST2/GNB2/GNAI2/B2M/CALM1/HLA-A/HLA-C/ITPR1/LIMK2/RIPK1/KRAS/CALM3/NFKBIA/CALR/CFL1/TAPBP",19
"PD (Down)","Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","20/320","235/9400",0.0851063829787234,2.5,4.37151371478923,0.000147221419166993,0.00295034646496558,0.00295034646496558,"MT-ND5/MT-ND4/MT-CO1/UQCRFS1/NDUFA5/MT-ATP6/NDUFS3/MT-ND3/MGLL/NDUFB5/KRAS/MT-CYB/ACTB/MT-ND2/COX5B/MT-ND1/MT-ND4L/ACTG1/MT-CO3/MT-CO2",20
"PD (Down)","Metabolism","Global and overview maps","hsa01200","Carbon metabolism","13/320","116/9400",0.112068965517241,3.29202586206897,4.66287563176971,0.000151299818716184,0.00295034646496558,0.00295034646496558,"IDH2/PKM/SDS/MDH1/TALDO1/ENO1/PGAM1/ACOX1/ALDH6A1/GAPDH/ECHS1/ALDOA/ADH5",13
"PD (Down)","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","18/320","205/9400",0.0878048780487805,2.57926829268293,4.29170507276185,0.000213823402263669,0.00395010601023937,0.00395010601023937,"PSMD7/CCND3/HLA-E/ISG15/JAK1/B2M/HLA-A/HLA-C/GADD45B/RIPK1/STAT1/NFKBIA/CALR/HES1/GADD45A/MAP3K14/VIM/TAPBP",18
"PD (Down)","Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","10/320","78/9400",0.128205128205128,3.76602564102564,4.60491738867346,0.00029262801161181,0.00513562160378727,0.00513562160378727,"C3/GNAI2/SERPING1/CALM1/C1S/NOD1/CALM3/RHOA/C1R/CFL1",10
"PD (Down)","Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","16/320","180/9400",0.0888888888888889,2.61111111111111,4.09703028761352,0.000415571516857573,0.00694598106747657,0.00694598106747657,"C3/HLA-E/BST2/JAK1/B2M/SRSF2/HLA-A/HLA-C/PML/STAT1/CD74/NFKBIA/SOCS3/CALR/SRSF7/TAPBP",16
