"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","contrast","celltype"
6.93534957966086e-27,0.547540572072145,0.64,0.472,2.06458421636924e-22,"HMGN3","AD_vs_PD","Astrocyte"
8.9607741328957e-27,-0.613601627292913,0.514,0.622,2.66753285162172e-22,"MEF2C-AS1","AD_vs_PD","Astrocyte"
1.32100624812366e-26,1.58501396701412,0.205,0.076,3.93250350003932e-22,"AC016716.2","AD_vs_PD","Astrocyte"
1.57888569619471e-26,0.984338430589803,0.357,0.196,4.70018482900203e-22,"PPIB","AD_vs_PD","Astrocyte"
3.04428934664824e-26,-0.852222391906508,0.343,0.472,9.06254495603714e-22,"HSPA4L","AD_vs_PD","Astrocyte"
3.41407981114281e-26,1.38067638724568,0.227,0.091,1.0163374189791e-21,"AC017101.1","AD_vs_PD","Astrocyte"
5.19006053924913e-26,-0.71476481997851,0.366,0.515,1.54502912192907e-21,"LTBP1","AD_vs_PD","Astrocyte"
6.38863055146524e-26,0.709187376814332,0.497,0.324,1.90183142886569e-21,"BEX3","AD_vs_PD","Astrocyte"
6.58919039226845e-26,0.588245653616011,0.592,0.42,1.9615360878744e-21,"MOB3B","AD_vs_PD","Astrocyte"
9.62281988515806e-26,0.745016822671741,0.473,0.305,2.8646172516127e-21,"CD63","AD_vs_PD","Astrocyte"
1.06016226371823e-25,1.53114635485897,0.201,0.075,3.15599704286281e-21,"AC027018.1","AD_vs_PD","Astrocyte"
1.54438828235591e-25,0.817215006526155,0.423,0.254,4.59748947774531e-21,"SH3RF3","AD_vs_PD","Astrocyte"
2.73931328480514e-25,0.909309555350355,0.394,0.237,8.15466171753643e-21,"PRDX5","AD_vs_PD","Astrocyte"
3.27497313031075e-25,0.725217786999548,0.474,0.303,9.74926751162208e-21,"SAT2","AD_vs_PD","Astrocyte"
3.78705575264578e-25,1.1322955467187,0.277,0.13,1.12736862700512e-20,"BCL2L14","AD_vs_PD","Astrocyte"
5.34770837630803e-25,0.723464677676052,0.467,0.29,1.59195930654314e-20,"AL138828.1","AD_vs_PD","Astrocyte"
7.34811367820703e-25,0.547352913453809,0.628,0.433,2.18745996086545e-20,"SYTL4","AD_vs_PD","Astrocyte"
