"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","celltype","contrast","direction"
"GO:0045471","response to ethanol","10/283","68/8692",0.147058823529412,4.51673248804822,5.34066494201663,6.24433934895124e-05,0.00614165465743515,0.00614165465743515,"MT-CO2/GFAP/FGF2/MT-CYB/MT-ND4/SOD2/ADCYAP1R1/FGFR2/EEF2/GSTP1",10,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0006692","prostanoid metabolic process","6/283","23/8692",0.260869565217391,8.01229067445076,6.17725092717803,7.14308498734378e-05,0.00687289003347469,0.00687289003347469,"FABP5/TNFRSF1A/CBR1/PNPLA8/CD74/GSTP1",6,"Astrocyte","AD_vs_Ctrl","Down"
"GO:2000379","positive regulation of reactive oxygen species metabolic process","8/283","44/8692",0.181818181818182,5.58432380340508,5.59241896358518,7.30699579029978e-05,0.00688101348252486,0.00688101348252486,"CBR1/SIRPA/GADD45A/SOD2/GNAI2/FAS/GSTP1/AGT",8,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0040007","growth","27/283","373/8692",0.0723860589812333,2.22324955711971,4.42985833034128,7.82359174648279e-05,0.00704208605658235,0.00704208605658236,"NRP1/CPNE8/PLEC/TSC22D4/NDRG4/CCDC85B/FGF2/EZR/BSG/CD81/SMAD3/VIM/MTPN/PML/FGFR2/SOX9/PTN/BST2/IGFBP7/FAM107A/ERBB2/CD38/PSAP/ENO1/FGFR3/PPP2R1A/AGT",27,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0006026","aminoglycan catabolic process","5/283","15/8692",0.333333333333333,10.2379269729093,6.56887914970282,8.10854613985821e-05,0.00704208605658235,0.00704208605658236,"CD44/IDS/FGF2/CHI3L2/CHI3L1",5,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0019883","antigen processing and presentation of endogenous antigen","5/283","15/8692",0.333333333333333,10.2379269729093,6.56887914970282,8.10854613985821e-05,0.00704208605658235,0.00704208605658236,"HLA-E/HLA-C/B2M/CD74/HLA-A",5,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0002455","humoral immune response mediated by circulating immunoglobulin","5/283","16/8692",0.3125,9.59805653710247,6.31475394164813,0.000114819377423078,0.00933592871466575,0.00933592871466575,"C1S/C1R/CD81/C1RL/C3",5,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0001817","regulation of cytokine production","28/283","405/8692",0.0691358024691358,2.12342189067749,4.24744379621406,0.000127306598520451,0.00988210961679729,0.00988210961679729,"HLA-E/STAT1/CHI3L1/GAPDH/ZFP36/BSG/SIRPA/ISG15/AKAP12/CD47/PLAGL1/HMGB2/CD81/F3/SMAD3/B2M/PML/CD74/C3/BST2/NOD1/HLA-A/PRNP/GSTP1/AGT/IFI16/IL33/SYT11",28,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0007422","peripheral nervous system development","7/283","36/8692",0.194444444444444,5.97212406753043,5.48391228790621,0.000133513253176378,0.00988210961679729,0.00988210961679729,"PLEC/PMP22/LGI4/GPC1/NDRG1/ERBB2/GSTM3",7,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0001816","cytokine production","28/283","410/8692",0.0682926829268293,2.09752650176678,4.17633422872411,0.000156776690286554,0.0109881026268014,0.0109881026268014,"HLA-E/STAT1/CHI3L1/GAPDH/ZFP36/BSG/SIRPA/ISG15/AKAP12/CD47/PLAGL1/HMGB2/CD81/F3/SMAD3/B2M/PML/CD74/C3/BST2/NOD1/HLA-A/PRNP/GSTP1/AGT/IFI16/IL33/SYT11",28,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0002252","immune effector process","21/283","267/8692",0.0786516853932584,2.41569063405725,4.31017547326825,0.000160288173969597,0.0109881026268014,0.0109881026268014,"HLA-E/LAMP1/TMBIM6/SERPING1/PLEC/C1S/HLA-C/C1R/LGALS3/CD81/RPS19/C1RL/B2M/TUBB/CD74/C3/TUBB4B/BST2/SOCS3/HLA-A/IL33",21,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0006754","ATP biosynthetic process","9/283","62/8692",0.145161290322581,4.4584520688476,5.01335114460609,0.000161370689277472,0.0109881026268014,0.0109881026268014,"MT-ND1/MT-ND2/MT-ND3/MT-ND4/MT-ATP6/MT-ND4L/MT-ND5/ENO1/ALDOA",9,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0050878","regulation of body fluid levels","15/283","156/8692",0.0961538461538462,2.9532481652623,4.51594285281638,0.000163882041512574,0.0109900290262826,0.0109900290262826,"SERPINE2/MT-CO2/SERPING1/ACTG1/PLSCR1/ACTB/ANGPTL4/RASA3/F3/AQP1/PROS1/ADGRG1/GNAI2/MYH9/DDR1",15,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0006954","inflammatory response","27/283","391/8692",0.0690537084398977,2.12090047264873,4.16050588396838,0.000172003032933598,0.0113624690114045,0.0113624690114045,"CD44/HLA-E/DAB2IP/TXNIP/TNFRSF1A/CHI3L1/PLSCR1/ZFP36/NAMPT/CASP7/SIRPA/CD47/HMGB2/MFHAS1/CD81/F3/SMAD3/OSMR/RPS19/C3/PTN/NOD1/GSTP1/AGT/IFI16/IL33/SYT11",27,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0050778","positive regulation of immune response","27/283","400/8692",0.0675,2.07318021201413,4.03114965712868,0.000249128033465659,0.0151330455659675,0.0151330455659675,"HLA-E/LAMP1/DAB2IP/SERPING1/TRIM5/PLSCR1/EZR/PARP9/C1S/HLA-C/CD47/HMGB2/C1R/LGALS3/MFHAS1/CD81/RPS19/C1RL/B2M/CD74/C3/ALPK1/NOD1/CD38/HLA-A/PRNP/IFI16",27,"Astrocyte","AD_vs_Ctrl","Down"
"GO:1902600","proton transmembrane transport","12/283","111/8692",0.108108108108108,3.32040874797059,4.51349482640391,0.000249596097224498,0.0151330455659675,0.0151330455659675,"MT-ND1/MT-CO2/MT-ND2/MT-ND3/MT-CYB/MT-ND4/MT-ATP6/MT-CO3/ATP6V0E2/MT-ND4L/MT-ND5/MT-CO1",12,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0032103","positive regulation of response to external stimulus","25/283","359/8692",0.0696378830083565,2.13884268236267,4.04265039410168,0.000264659856594508,0.0158295206119905,0.0158295206119905,"NRP1/HLA-E/LAMP1/DAB2IP/TRIM5/TNFRSF1A/FGF2/PLSCR1/PARP9/HLA-C/CD47/HMGB2/MFHAS1/CD81/F3/SMAD3/OSMR/RPS19/CD74/PTN/ALPK1/NOD1/AGT/IFI16/IL33",25,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0010038","response to metal ion","16/283","182/8692",0.0879120879120879,2.70011260823982,4.25211027028211,0.000282466078614182,0.0161669903190445,0.0161669903190445,"CPNE8/TXNIP/TUBA1A/HPCA/MT-CYB/PLSCR1/CLIC4/BSG/AQP1/AHCYL1/SOD2/B2M/NDRG1/ITPKC/PRNP/MT-CO1",16,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0071260","cellular response to mechanical stimulus","8/283","53/8692",0.150943396226415,4.63604240282686,4.87069632739473,0.00028348663825966,0.0161669903190445,0.0161669903190445,"PLEC/TNFRSF1A/FGF2/AQP1/GADD45A/FAS/SOX9/MAP3K14",8,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0032102","negative regulation of response to external stimulus","17/283","201/8692",0.0845771144278607,2.5976829632755,4.20402344094844,0.000290493155317398,0.0162749709548709,0.0162749709548709,"SERPINE2/HLA-E/PARP14/SERPING1/TNFRSF1A/FGF2/SIRPA/ISG15/MFHAS1/SMAD3/PROS1/RPS19/HLA-A/GSTP1/IFI16/IL33/SYT11",17,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0002698","negative regulation of immune effector process","8/283","54/8692",0.148148148148148,4.55018976573747,4.80062479871397,0.000323548709992386,0.017210431842715,0.017210431842715,"HLA-E/TMBIM6/SERPING1/LGALS3/RPS19/BST2/HLA-A/IL33",8,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0071496","cellular response to external stimulus","8/283","54/8692",0.148148148148148,4.55018976573747,4.80062479871397,0.000323548709992386,0.017210431842715,0.017210431842715,"PLEC/TNFRSF1A/FGF2/AQP1/GADD45A/FAS/SOX9/MAP3K14",8,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0051402","neuron apoptotic process","13/283","132/8692",0.0984848484848485,3.02484206017775,4.30028414776553,0.000352150478816095,0.0181234653400004,0.0181234653400004,"NRP1/TUBA1A/FGF2/GAPDH/MCL1/CASP7/SOD2/FAS/RETREG1/PRODH/TMBIM1/GRINA/PRNP",13,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0031638","zymogen activation","5/283","20/8692",0.25,7.67844522968198,5.48512650609709,0.000366136983380685,0.0181689877698015,0.0181689877698015,"SERPINE2/C1S/C1R/C1RL/ENO1",5,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0018212","peptidyl-tyrosine modification","9/283","69/8692",0.130434782608696,4.00614533722538,4.59897704918142,0.000369455241591084,0.0181689877698015,0.0181689877698015,"PARP14/PARP9/FGFR2/TPST1/ZFYVE28/ERBB2/EFEMP1/DDR1/FGFR3",9,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0048872","homeostasis of number of cells","13/283","133/8692",0.0977443609022556,3.00209888679295,4.26830797518165,0.000379143528939893,0.018440541308659,0.018440541308659,"GLUL/TUBA1A/STAT1/ZFP36/ISG15/HMGB2/MFHAS1/RPS19/FAS/CD74/SOX9/PPP2R1A/EPAS1",13,"Astrocyte","AD_vs_Ctrl","Down"
"GO:0022603","regulation of anatomical structure morphogenesis","28/283","437/8692",0.0640732265446224,1.96793104284756,3.80875041593857,0.000447937535591419,0.0199508185159908,0.0199508185159908,"CD44/NRP1/GLUL/CPNE8/DAB2IP/STAT1/FGF2/CST3/CHI3L1/EZR/ANGPTL4/PKM/F3/SMAD3/AQP1/GADD45A/VIM/METRN/PML/C3/MYH9/FGFR2/SOX9/ERBB2/TMBIM1/ALDOA/KIF1A/AGT",28,"Astrocyte","AD_vs_Ctrl","Down"
