"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"PD (Down)","GO:0002526","acute inflammatory response","9/511","33/8692",0.272727272727273,4.63903220067604,5.23420981342137,8.4567917505349e-05,0.00492496845892993,0.00492496845892993,"FN1/HLA-E/PARK7/PLSCR1/CEBPB/OSMR/SELENOS/F3/GSTP1",9
"PD (Down)","GO:0016032","viral process","30/511","244/8692",0.122950819672131,2.09136697571461,4.32146397912407,9.18211840486905e-05,0.00527792935843512,0.00527792935843512,"TRIM5/BST2/ISG15/PLSCR1/MX1/VPS28/IFI16/SCARB2/LAMP1/LAMTOR5/STOM/ZFP36/LGALS1/RAN/SPCS1/PARP9/STAT1/BSG/CD81/IFITM3/HACD3/DYNLT1/CTSL/CANX/RPSA/DDX3X/DAG1/IFIT1/APOE/CTSB",30
"PD (Down)","GO:0046034","ATP metabolic process","20/511","135/8692",0.148148148148148,2.5199681090092,4.44818378781201,0.000112027522754411,0.00627637741406357,0.00627637741406357,"MT-ND5/MT-ND4/PKM/PARP1/FIS1/ENO1/NDUFA5/MT-ATP6/PGAM1/NUPR1/NDUFS3/MT-ND3/NDUFB5/GAPDH/TMSB4X/MT-ND2/MT-ND1/MT-ND4L/ALDOA/PINK1",20
"PD (Down)","GO:0007565","female pregnancy","13/511","67/8692",0.194029850746269,3.30040599351579,4.72394104131296,0.000116407306090663,0.00644023420946595,0.00644023420946595,"PARP1/GJA1/PTN/KRAS/BSG/DDR1/IGFBP7/MAGED2/CALR/C1QBP/CD38/NDP/RPL29",13
"PD (Down)","GO:0040017","positive regulation of locomotion","38/511","346/8692",0.109826589595376,1.86812664728573,4.11835779956117,0.000130959866016926,0.00673986473245247,0.00673986473245247,"SRPX2/FN1/PHPT1/CD47/MAPRE2/GNAI2/SPARC/AKAP12/SDCBP/F3/ACKR3/RAB11A/PTN/SOD2/LGALS3/TMSB4X/RHOB/CIB1/DAB2IP/RHOC/RHOA/AGT/CD74/BSG/FAM107A/CALR/C1QBP/FGF2/VEGFB/RACK1/NEDD9/VSIR/ACTG1/CFL1/VPS35/ITGA6/PINK1/SOX9",38
"PD (Down)","GO:1902950","regulation of dendritic spine maintenance","5/511","10/8692",0.5,8.50489236790607,5.9343984984513,0.000135562534628334,0.00689654917545986,0.00689654917545986,"PRNP/NEDD9/CFL1/APOE/VPS35",5
"PD (Down)","GO:0021762","substantia nigra development","9/511","35/8692",0.257142857142857,4.37394464635169,4.99839294988461,0.000139322899243173,0.00692857474213799,0.00692857474213799,"CCDC14/CALM1/MAOB/YWHAE/NDUFS3/CALM3/ACTB/CKB/RHOA",9
"PD (Down)","GO:0070849","response to epidermal growth factor","9/511","35/8692",0.257142857142857,4.37394464635169,4.99839294988461,0.000139322899243173,0.00692857474213799,0.00692857474213799,"ZFP36/EEF1A1/DAB2IP/ZFP36L2/ZFP36L1/ERBB2/GSTP1/CFL1/SOX9",9
"PD (Down)","GO:0042542","response to hydrogen peroxide","11/511","51/8692",0.215686274509804,3.66877709988105,4.77702502706848,0.000144446002120011,0.00702547258662821,0.00702547258662821,"MT-ND5/PARK7/BNIP3/SOD2/AQP1/RIPK1/RHOB/EEF2/CFL1/TXNIP/RPS3",11
"PD (Down)","GO:0051248","negative regulation of protein metabolic process","38/511","349/8692",0.108882521489971,1.85206825203685,4.0603933163798,0.000156828930097041,0.00730657731167899,0.00730657731167899,"CADM4/CLU/TAF7/ISG15/PARK7/GABARAPL2/VPS28/PFDN1/ITM2B/PML/TIMP3/ZFP36/BEX3/CST3/GAPDH/MAP1A/CIB1/DAB2IP/ZFP36L2/BEX1/PRNP/AGT/TOB1/NCL/ZFP36L1/ITM2C/CALR/RACK1/BTG2/DDX3X/GADD45A/BEX2/BEX4/APOE/VPS35/CIRBP/PARP14/RPS3",38
"PD (Down)","GO:2000147","positive regulation of cell motility","37/511","338/8692",0.109467455621302,1.86201785569541,4.03988967530562,0.000171579769883367,0.00764705425286039,0.00764705425286039,"SRPX2/FN1/PHPT1/CD47/MAPRE2/GNAI2/SPARC/AKAP12/SDCBP/F3/ACKR3/RAB11A/PTN/SOD2/LGALS3/TMSB4X/RHOB/CIB1/DAB2IP/RHOC/RHOA/AGT/CD74/BSG/FAM107A/CALR/C1QBP/FGF2/VEGFB/RACK1/NEDD9/VSIR/ACTG1/CFL1/ITGA6/PINK1/SOX9",37
"PD (Down)","GO:1903829","positive regulation of protein localization","34/511","301/8692",0.112956810631229,1.9213710332811,4.06586608482976,0.000172775740010402,0.00764705425286039,0.00764705425286039,"ZDHHC2/JAK1/PHPT1/PARK7/VPS28/PARP1/SYT11/LRRC8A/LAMTOR5/PML/LIMK2/YWHAE/RAB11A/LGALS3/LAMTOR1/MAP1A/CIB1/RAN/PARP9/PRNP/BSG/TMED10/CD81/CD38/RACK1/DAG1/NEDD9/ALDOA/CFL1/VIM/APOE/VPS35/B3GAT3/PINK1",34
"PD (Down)","GO:0140253","cell-cell fusion","12/511","62/8692",0.193548387096774,3.29221640047977,4.52676751987658,0.00021723649032641,0.0087911218688541,0.0087911218688541,"RPL7A/RPL41/CD9/RPL13/RPL28/RPL15/CD81/RPL18/UBA52/RPL29/RPL19/RPL8",12
"PD (Down)","GO:0071345","cellular response to cytokine stimulus","41/511","393/8692",0.104325699745547,1.77455769508473,3.92716631996102,0.000220301161814658,0.0087911218688541,0.0087911218688541,"ASAH1/PSMD7/ISG15/JAK1/CD47/MX1/CEBPB/IFI16/CALM1/YBX3/OSMR/AKAP12/F3/ACKR3/ZFP36/PSMB1/GAPDH/RIPK1/KRAS/TMSB4X/CIB1/PARP9/DAB2IP/ZFP36L2/STAT1/RHOA/CD74/ZFP36L1/NFKBIA/DPYSL3/SOCS3/IFITM3/HES1/GSTP1/PSMA7/PSMB5/IFIT1/CFL1/IFIT3/PARP14/SOX9",41
"PD (Down)","GO:0048144","fibroblast proliferation","9/511","37/8692",0.243243243243243,4.13751520600836,4.77964117676553,0.000220924522762656,0.0087911218688541,0.0087911218688541,"FN1/S100A6/PML/AQP1/DAB2IP/AGT/CD74/FTH1/GSTP1",9
"PD (Down)","GO:0048145","regulation of fibroblast proliferation","9/511","37/8692",0.243243243243243,4.13751520600836,4.77964117676553,0.000220924522762656,0.0087911218688541,0.0087911218688541,"FN1/S100A6/PML/AQP1/DAB2IP/AGT/CD74/FTH1/GSTP1",9
"PD (Down)","GO:0051093","negative regulation of developmental process","46/511","458/8692",0.100436681222707,1.70840632717764,3.89270836044373,0.000221850372380271,0.0087911218688541,0.0087911218688541,"CCDC85B/CRIM1/ID2/RPL7A/IDH2/B2M/PARP1/RPL41/SPARC/PML/ZFP36/LGALS1/PSMB1/RPL13/BNIP3/PTN/CST3/TSC22D1/RPL28/TMEM176B/TMSB4X/CIB1/ACTB/DAB2IP/ZFP36L2/STAT1/ZFP36L1/NFKBIA/RPL15/RPL18/DYNLT1/CALR/UBA52/HES1/PSMA7/GADD45A/CFL1/APOE/SLIT1/PINK1/RPL29/VASN/ID3/SOX9/RPL19/RPL8",46
"PD (Down)","GO:0160307","protein biosynthetic process","45/511","446/8692",0.100896860986547,1.71623388590033,3.88099208461895,0.000234428144599497,0.00902242580867282,0.00902242580867282,"EIF1/MTPN/YTHDF1/SECISBP2/FAU/RPL7A/PKM/RPL41/RPS5/YBX3/PML/ZFP36/RPL13/EEF1A1/GAPDH/CNBP/RPL28/RPS2/TUFM/ZFP36L2/SELENOT/TOB1/NCL/ZFP36L1/ERBB2/RPL15/RPL18/AURKAIP1/CALR/C1QBP/UBA52/RACK1/RPS19/RPSA/BTG2/DDX3X/EEF2/EIF4A2/CIRBP/PINK1/RPL29/RPS9/RPL19/RPL8/RPS3",45
"PD (Down)","GO:0044706","multi-multicellular organism process","13/511","72/8692",0.180555555555556,3.07121113285497,4.41041153967286,0.000248379843410393,0.0092945106565255,0.0092945106565255,"PARP1/GJA1/PTN/KRAS/BSG/DDR1/IGFBP7/MAGED2/CALR/C1QBP/CD38/NDP/RPL29",13
